sentiment,topic,sentence
2,1,slide giáo_trình .
2,0,nhiệt_tình giảng_dạy gũi sinh_viên .
0,1,đi học full chuyên .
0,0,áp_dụng công_nghệ thông_thiết giảng_dạy .
2,0,thầy giảng tập ví_dụ lớp .
2,0,giảng_viên lớp tích_cực sinh_viên xuyên sinh_viên .
1,3,nợ môn_học học_kỳ kế_tiếp .
0,1,thời học tiếp_thu hiệu .
0,1,nội_dung môn_học trọng_tâm hầu khái_quát sinh_viên nắm nội_dung môn_học .
0,1,trình_bày bảng thay slide .
2,0,thầy tận_tình đi dạy .
0,3,áp_lực .
1,0,dạy thầy wzjwz đi chừng thầy wzjwz dạy thay .
0,1,môn_học nâng độ .
0,1,sinh_viên đi thăm quan công tình_yêu quy_mô giúp vê ngành học .
2,3,hài .
2,0,nhiệt_tình vui_vẻ .
2,0,nhiệt_tình trao_đổi giúp_đỡ học_tập .
2,0,phong giảng thầy gũi sinh_viên .
2,0,giảng_dạy kết_hợp hoạt_động giải_trí hiệu .
0,1,seminar sinh_viên sâu chuyên_ngành môn_học .
2,0,tiết học thoải_mái .
2,0,thầy nhiệt_tình sinh_viên .
2,0,giảng_dạy nhiệt_tình hướng chi_tiết sinh_viên .
0,1,tiết tập chữa tập lớp .
2,1,tài_liệu bổ_sung modle .
0,0,giảng_viên ví_dụ kỹ ví_dụ minh_họa lập đi lập cảm_giác chán sinh_viên .
0,1,biên_soạn tài_liệu trường ta .
0,0,giúp_đỡ sinh_viên xung_quanh .
2,1,tập đa_dạng .
0,1,nội_dung giảng_viên yêu câu seminar hầu tài_liệu tham_khảo ứng_dụng đề_nghị học .
2,1,slide up học .
0,1,nội_dung giảng_dạy nhàm_chán khô_khan .
0,1,kiến_thức học_kỳ .
0,0,thầy chép bảng .
2,0,thầy tận_tình hướng giải_quyết thắc_mắc sinh_viên .
2,3,chúc thầy vui_vẻ .
2,0,nhiệt_tình .
0,0,mặc nhiệt_tình_truyền_ngôn .
2,0,thầy dạy cung thông môn_học hướng giải_quyết_sinh_viên đồ_án .
2,0,hy_vọng học_kỳ học .
0,1,lớp_học môn đặc_tả hình_thức lớp_học học .
0,0,giảng .
0,1,thực_hành .
2,0,thầy tận_tâm nhiệt_tình sinh_viên giảng kiến_thức sâu_rộng am .
2,0,dạy nhiệt_huyết mỉm cười kiên_trì giảng .
2,0,lớp giảng sinh_viên .
0,0,thông_thiết doubledot dealine nộp dặn lớp thực_hành hai .
2,0,thầy nhiệt_tình .
0,0,giảng_viên đi_sâu chất học chất ứng_dụng chuyên_ngành .
2,0,thầy công_sức tập chấm ràng minh_bạch .
2,1,nhiệt_tình tận_dụng .
2,0,giảng_viên tận_tâm nhiệt_huyết giảng_dạy .
2,0,thầy nhiệt_tình gũi .
2,0,giảng_viên tận_tâm giảng tiếp_thu .
1,0,cạnh_tranh thực_hành .
2,1,tập code tham_khảo .
0,2,nâng hệ_thống wifi phòng thực_hành sinh_viên truy_cập internet buộc phép .
0,1,tài_liệu chi_tiết lắm .
2,0,tận_tâm nhiệt_tình vui sinh_viên .
2,0,thầy dạy nhiệt_tình .
0,0,thầy dạy hướng sinh_viên thực_hành .
0,0,giúp_đỡ học_sinh .
0,0,dạy buồn_ngủ .
0,1,kinh mong nội_dung môn_học tải đặc_thù trường công_nghệ thông .
2,0,thầy tận_tình vui .
0,0,kiểu .
2,0,hứng_thú sinh_viên .
2,0,giảng hút truyền .
2,0,hứng_thú học .
1,1,ôn_tập thầy kỳ .
2,0,giảng_viên hướng chi_tiết .
